,edge_id,edge_from,edge_to,edge_type,seg_edges,edge_type_cat
318,289444439,292348144,2936875422,junctional,,junctional
319,289444434,1716515075,267722,junctional,,junctional
320,289444428,267718,292348144,junctional,,junctional
321,289444426,1099465477,262896,junctional,,junctional
322,289444420,269724796,267713,junctional,,junctional
323,289441726,293682866,1099560799,junctional,,junctional
324,253346708,21493223,375641,junctional,,junctional
325,289441724,1099560796,27457786,junctional,,junctional
326,286339721,1059694872,2939489896,junctional,,junctional
327,280274001,1913949867,273165,junctional,,junctional
328,280273999,1627466140,129935,junctional,,junctional
329,280271363,1703355964,2592685923,junctional,,junctional
330,280270149,130124,128961,junctional,,junctional
331,280269664,2156703755,602020,junctional,,junctional
332,27456504,7138404371,21676283,junctional,,junctional
333,288717310,181764519,181764514,junctional,,junctional
334,253346704,1029615259,1029614926,junctional,,junctional
335,256297941,1572493959,1585011680,junctional,,junctional
336,253346701,1059694866,377428,junctional,,junctional
337,205697743,224348417,2156714379,junctional,,junctional
338,205697742,375641,1999942917,junctional,,junctional
339,205697741,1999942917,224348417,junctional,,junctional
340,205696736,2156703735,25335917,junctional,,junctional
341,205696729,440566,1029615236,junctional,,junctional
342,205696728,375630,375625,junctional,,junctional
343,205696726,1099538529,364882784,junctional,,junctional
344,205697744,2156714379,7138388907,junctional,,junctional
345,199479280,292339971,129950,junctional,,junctional
346,198362553,130122,1913949867,junctional,,junctional
347,198362552,129937,1627466140,junctional,,junctional
348,198359298,129950,130122,junctional,,junctional
349,194615580,375834,21493515,junctional,,junctional
350,194607697,1572998454,375781,junctional,,junctional
351,253346702,1059826936,3833847084,junctional,,junctional
352,194606311,375764,375772,junctional,,junctional
353,199356093,269396599,269395641,junctional,,junctional
354,211779379,1878022043,706558374,junctional,,junctional
355,194607696,375809,2041194,junctional,,junctional
356,253331660,128969,2592685924,junctional,,junctional
357,253331661,564068,1703355964,junctional,,junctional
358,253331659,128961,564068,junctional,,junctional
359,253331658,128963,564062,junctional,,junctional
360,253331657,2156703757,128971,junctional,,junctional
361,253327116,106370593,106370656,junctional,,junctional
362,227043214,129934,273158,junctional,,junctional
363,253327113,29399606,273165,junctional,,junctional
364,24828582,471885,1099465448,junctional,,junctional
365,253327115,1623777535,104738806,junctional,,junctional
366,24405955,12215022,21690972,junctional,,junctional
367,2413205,564059,2156703755,junctional,,junctional
368,2413202,29399606,3329934602,junctional,,junctional
369,2413201,129934,129935,junctional,,junctional
370,2413197,564068,273159,junctional,,junctional
371,2384687,281774,292345454,junctional,,junctional
372,227043239,129935,128963,junctional,,junctional
373,245440737,8630068049,778269332,junctional,,junctional
374,segment_55,1281954197,146607,segment,253346718 & 316670152 & 253346703 & 325030866,segment
375,segment_54,3785928899,146622,segment,253346707 & 316670153 & 316670151 & 316670151-AddedOffRampEdge,segment
376,segment_53,267718,412383912,segment,4075143 & 318893121 & 318893121-AddedOffRampEdge & 327036676,segment
377,segment_52,375630,129077,segment,3995753 & 32456945 & 310375823,segment
378,segment_51,129071,1029615259,segment,253346706 & 325030865 & 325030867 & 307146390,segment
379,segment_50,1059673147,3785928899,segment,253346714 & 325560958 & 325560957 & 31697844,segment
380,segment_49,4241706370,7138404371,segment,864726184 & 325781634 & 27473114,segment
381,segment_40,146739,146729,segment,253356368 & 325882169 & 325882167 & 325882165 & 326418274 & 326418276,segment
382,segment_47,8851960,21550593,segment,143755676 & 325882174 & 325882176,segment
