,edge_id,edge_from,edge_to
201,24405955,12215022,21690972
202,245440732,778269332,1569939897
203,245440733,1029344125,471965
204,245440735,1569939897,1569939962
205,245440736,2526390811,245440736-AddedOffRampNode
206,245440736-AddedOffRampEdge,245440736-AddedOffRampNode,4804095376
207,245440737,8630068049,778269332
208,246627684,2536373549,1828305746
209,246627685,21493515,3331090268
210,246627687,146855,2536373572
211,246627688,2536373572,1961449232
212,246627689,2536373580,375834
213,246627690,2536373636,2536373580
214,246627701,247366622,146855
215,24686937,268348877,268348879
216,248212237,1985053302,4804095381
217,24828582,471885,1099465448
218,253327113,29399606,273165
219,253327114,273159,3329934599
220,253327115,1623777535,104738806
221,253327116,106370593,106370656
222,253327117,106370656,292338035
223,253327118,104738806,2844813416
224,253331650,564060,2844134478
225,253331657,2156703757,128971
226,253331658,128963,564062
227,253331659,128961,564068
228,253331660,128969,2592685924
229,253331661,564068,1703355964
230,253346701,1059694866,377428
231,253346702,1059826936,3833847084
232,253346703,2592832041,3317024588
233,253346704,1029615259,1029614926
234,253346705,1029614925,3330053217
235,253346706,129071,129069
236,253346707,3785928899,2592832049
237,253346708,21493223,375641
238,253346709,146622,1281954197
239,253346710,1029615040,129031
240,253346713,59931393,1044876903
241,253346714,1059673147,1059673172
242,253346715,1044876903,59931401
243,253346716,375625,3317024584
244,253346717,146607,129071
245,253346718,1281954197,2592832044
246,253350648,1580820762,1423221462
247,253353290,146710,396007541
248,253353291,375729,1581762671
249,253353292,146717,146710
250,253353293,1581762671,3330241905
251,253354841.30,647745655_trimmed_01,1581762617
252,253354842,18277418,3330548795
253,253354843,1794227,1581762656
254,253354844,146729,1581762656
255,253356368,146739,2592928667
256,253356369,375772,2592928640
257,253357496,146773,3330987140
258,253357497,18034001,3330933821
259,253357498,249309579,3330933828
260,253357499,18033999,18034001
261,253358863,1828305746,146855
262,256283243,2619559994,3331894070
263,256297908,2619671754,268573602
264,256297913,1878021900,1878021876
265,256297916,2619671762,268352171
266,256297918,2619671757,2619671762
267,256297919,12215025,2619671754
268,256297920,21690972,3265288561
269,256297921,268573602,247364973
270,256297923,8630068061,147154
271,256297924,146870,7908483799
272,256297925,375840,1878022043
273,256297926,1978472091,375852
274,256297927,2619671753,410206938
275,256297928,8286600,2526390811
276,256297929,2247256772,146896
277,256297930,410206930,8286600
278,256297931,410206938,146933
279,256297932,2619671761,147018
280,256297934,146896,2484948730
281,256297935,147018,2619559994
282,256297938,2619671722,81479849
283,256297940,247368059,1564111637
284,256297941,1572493959,1585011680
285,256320645,2619847847,2619671677
286,25632153,269395636,8285876
287,256333142,2619974850,269395628
288,256333143,2484948730,269396599
289,256333144,269395636,269396685
